date,open_USD,high_USD,low_USD,close_USD,volume
30-10-2019,9407.62,9409.84,9001.01,9154.72,55241
29-10-2019,9204.45,9550,9072,9407.62,64158
28-10-2019,9528.23,9902.1,9160,9205.14,80174
27-10-2019,9230,9794.98,9074.34,9529.93,93833
26-10-2019,8655.88,10370,8470.38,9230,162588
25-10-2019,7412.41,8799,7361,8655.02,90748
24-10-2019,7468.47,7503.68,7337.99,7412.41,32714
23-10-2019,8020.06,8047.59,7300,7466.62,63897
22-10-2019,8197.28,8297.99,8000,8020,34651
21-10-2019,8223.35,8333,8142.03,8197.27,30448
20-10-2019,7949.87,8297,7870,8223.35,34286
19-10-2019,7946.89,8098.1,7866.92,7948.01,26627
18-10-2019,8070.71,8115,7816.01,7947.01,31353
17-10-2019,7995.02,8124.92,7929.03,8070.58,29656
16-10-2019,8159.3,8181.16,7917,7991.74,34733
15-10-2019,8346.86,8403,8090,8159.29,32773
14-10-2019,8275.24,8388.85,8203,8348.2,29810
13-10-2019,8301.98,8451.37,8160,8275.01,27840
12-10-2019,8257.95,8400,8250,8300.09,21339
11-10-2019,8557.82,8779.51,8212.38,8258.5,50405
10-10-2019,8562.15,8644,8414.52,8558.03,39137
09-10-2019,8170.79,8670,8115,8560.74,55038
08-10-2019,8190.82,8325,8088.75,8168.39,35452
07-10-2019,7855.3,8299.92,7762,8190.09,52202
06-10-2019,8127.55,8153.87,7785,7854.25,34676
05-10-2019,8137.09,8183.41,8012.98,8126.19,21907
04-10-2019,8224.43,8232.41,8005,8137.13,26476
03-10-2019,8360,8393,8060,8223.96,30488
02-10-2019,8292.67,8373.91,8151.22,8359.94,26243
01-10-2019,8289.97,8500,8173.05,8292.44,43472
30-09-2019,8043.04,8337.26,7710,8289.34,55865
29-09-2019,8199.38,8229.13,7890,8043.82,31544
28-09-2019,8177.47,8315,8001.09,8198.81,34473
27-09-2019,8063.49,8265,7852.15,8177.91,43882
26-09-2019,8430.05,8465.99,7750,8063.73,67930
25-09-2019,8497.55,8730,8215.64,8430.05,60783
24-09-2019,9702.2,9794.99,7800,8493.14,94007
23-09-2019,10028.05,10049.99,9615.77,9702.25,31937
22-09-2019,9985.15,10089,9853.97,10028.87,22049
21-09-2019,10167.92,10176.7,9900,9986.39,20544
20-09-2019,10243.7,10281,10061.39,10168.59,25088
19-09-2019,10156.41,10325,9653,10244.29,44826
18-09-2019,10187.48,10258.02,10100,10156.99,24250
17-09-2019,10249.68,10275,10128.01,10187.82,22914
16-09-2019,10303.34,10355,10078,10251.31,28971
15-09-2019,10332.81,10360,10252.15,10302.01,18047
14-09-2019,10344.13,10419.99,10222.33,10335.02,23621
13-09-2019,10415.01,10439,10153,10342.06,30280
12-09-2019,10158.75,10448.81,10040,10415.01,34511
11-09-2019,10098.19,10293,9880,10158.33,31953
10-09-2019,10302.58,10384.99,9953,10098.15,28915
09-09-2019,10381.24,10480,10068.5,10303.12,39835
08-09-2019,10455.9,10592.5,10208,10381.18,23984
07-09-2019,10298.71,10558,10288.57,10455.88,27637
06-09-2019,10563.13,10905.87,10150,10298.73,58799
05-09-2019,10565.92,10900,10450,10564.49,33970
04-09-2019,10611.85,10799,10369.89,10567.02,43943
03-09-2019,10340,10773,10272,10615.28,47998
02-09-2019,9723.59,10450,9712.5,10340,44740
01-09-2019,9588.74,9830,9520,9724.98,19545
31-08-2019,9582.76,9684.51,9420.75,9587.47,17130
30-08-2019,9499.01,9696,9350.41,9584.54,26834
29-08-2019,9721,9724,9320,9498.44,35532
28-08-2019,10185.69,10299,9601.01,9721,42110
27-08-2019,10373.6,10391.08,10051.08,10185.05,28402
26-08-2019,10142.69,10604,10137.93,10372.25,41687
25-08-2019,10134.61,10333,9906.97,10142.69,26271
24-08-2019,10388.16,10419.42,9890,10134.35,27692
23-08-2019,10099.9,10445,10019.79,10389.55,27550
22-08-2019,10140.82,10242,9762,10099.88,34059
21-08-2019,10760.51,10804.13,9858,10142.57,47355
20-08-2019,10914.73,10949.96,10560,10760.51,32298
19-08-2019,10306.17,10930,10258.6,10915.54,37243
18-08-2019,10216.05,10500,10080,10306.78,24085
17-08-2019,10331.15,10465.14,10000,10216.02,29000
16-08-2019,10296.77,10536.03,9750,10331.54,51758
15-08-2019,10055.16,10460,9911,10293.93,38174
14-08-2019,10893.36,10897.48,9928.1,10050.37,54451
13-08-2019,11398.35,11456.16,10788.45,10892.71,33234
12-08-2019,11539.08,11577.89,11235.32,11396.08,17568
11-08-2019,11309.24,11600,11112.11,11549.97,26772
10-08-2019,11879.98,11985,11270,11309.31,42633
09-08-2019,11994.17,12045.68,11700,11879.99,39427
08-08-2019,11975.04,12060,11521,11999.77,51207
07-08-2019,11481.69,12141.17,11382.84,11975.03,69173
06-08-2019,11830,12330.7,11226.7,11481.69,76705
05-08-2019,10929.99,11937.52,10927.8,11828.8,65153
04-08-2019,10816.86,11040,10552,10929.23,39924
03-08-2019,10523.75,10904.77,10497.93,10816.86,33802
02-08-2019,10375,10670,10281.35,10523.75,42990
01-08-2019,10080.53,10467.86,9863.46,10374.99,41727
31-07-2019,9575,10109.8,9555,10080.53,39515
30-07-2019,9509.07,9714.28,9402,9574.21,32536
29-07-2019,9541.54,9729,9395,9507.64,29021
28-07-2019,9478.92,9594.99,9165,9541.54,29401
27-07-2019,9824,10188.66,9333,9476.52,43809
26-07-2019,9882.15,9889.98,9637,9824,27167
25-07-2019,9763.4,10175,9720.03,9879.87,37873
24-07-2019,9864.78,9937,9525,9763.28,43475
23-07-2019,10343.08,10343.97,9822,9864.91,47624
22-07-2019,10590.15,10683.16,10100,10340.31,40467
21-07-2019,10740.27,10817.9,10288,10589.45,38834
20-07-2019,10505.78,11068.99,10350,10740.23,47331
19-07-2019,10628.64,10769.71,10121.84,10504.29,56546
18-07-2019,9668.86,10788,9252,10627.16,80283
17-07-2019,9430.17,9957,9060,9667.92,84942
16-07-2019,10833.78,11028,9350.01,9439.59,97219
15-07-2019,10174.18,11100,9860,10838.72,81922
14-07-2019,11355.78,11452,10103,10174.18,72517
13-07-2019,11757.22,11799.98,10830,11355.76,54245
12-07-2019,11342.88,11885,11073,11757.22,56321
11-07-2019,12108.11,12111.73,11000,11342.89,87506
10-07-2019,12548.51,13147.08,11569,12108.37,109246
09-07-2019,12238.6,12794.73,12068,12543.41,78442
08-07-2019,11410,12338.03,11220,12238.6,52182
07-07-2019,11256.45,11538,11094.37,11406.24,38884
06-07-2019,10982.41,11665,10964.51,11256.49,51469
05-07-2019,11145.67,11406.83,10796.44,10970.73,63534
04-07-2019,11940,12000,11055,11145.67,66512
03-07-2019,10844.98,11991.89,10841.04,11940,96815
02-07-2019,10624.9,10938.75,9727,10842.85,109561
01-07-2019,10854.1,11282.28,10030,10624.93,90962
30-06-2019,11903.13,12180,10766.03,10854.1,84512
29-06-2019,12407.06,12441.54,11475.02,11903.13,69642
28-06-2019,11329.99,12480,10982.88,12400.63,95795
27-06-2019,13098.38,13478.04,10525.1,11329.99,173894
26-06-2019,11821.28,13970,11741,13093.8,155930
